วัดพระสิงห์วรมหาวิหาร
วัดบ้านไร่
วัดสันติสุข
วัดท่าเดื่อ
วัดบ้านโท้ง
วัดบ้านน้อย
วัดบ้านบงตัน
วัดหล่ายแก้ว
วัดบ้านแอ่น
วัดพิงคาราม
วัดท่าครั่ง
วัดบ้านโปง
วัดพระพุทธบาทตะเมาะ
วัดฉิมพลีวุฒาราม
วัดประถมการาม
วัดปัจฉิมการาม
วัดจันทร์
วัดข่วงเปา
วัดขะแมด
วัดมงคลวารี
วัดวังดิน
วัดสบรู้
วัดห้วยตองสัก
วัดใหม่สันตึง
วัดดอยแก้ว
วัดดอยน้อย
วัดท่าต้นแหน
วัดข่วงเปาใต้
วัดดงเย็น
วัดท่าข้าม
วัดนากบ
วัดบ้านแปะ
วัดม่อนหิน
วัดสบแจ่ม
วัดสบแจ่มฝั่งซ้าย
วัดสบแปะ
วัดห้วยทราย
วัดเชิงดอย
วัดแท่นคำ
วัดน้ำตกแม่กลาง
วัดน้ำต้อง
วัดน้ำลัด
วัดพระเกิ๊ด
วัดพระบาท
วัดเมืองกลาง
วัดบ้านใหม่สารภี
วัดแม่สอย
วัดโรงวัว
วัดวังน้ำหยาด
วัดสบสอย
วัดหนองคัน
วัดทุ่งปูน
วัดพุทธนิมิตร
วัดโมคคัลลาน
วัดวังจำปา
วัดวังปาน
วัดสบเตี๊ยะ
วัดหนองอาบช้าง
วัดห้วยม่วง
วัดหาดนาค
วัดล้านนาญาณสังวราราม
วัดป่ารัตนปัญญาราม
วัดเจริญราษฎร์
วัดดอนศรีสะอาด
วัดดับภัย
วัดถ้ำเชียงดาว
วัดแม่อีด
วัดศรีทรายมูล
วัดอัมพวัน
วัดอินทาราม
วัดอุตตาราม
วัดนันติยาราม
วัดสว่างมงคล
วัดห้วยตีนตั่ง
วัดห้วยเป้า
วัดปางเฟือง
วัดชัยมงคล
วัดเชียงมั่น
วัดเชียงยืน
วัดศรีบุญเรือง
วัดสะอาดชัยศรี
วัดอัมพาราม
วัดนาหวาย
วัดโละป่าหาญ
วัดเวฬุวัน
วัดห้วยไส้
วัดจอมคีรี
วัดปางมะโอ
วัดราษฎร์ประดิษฐ์
วัดศรีดอนชัย
วัดศรีอุ่นเมือง
วัดศิริมงคล
วัดสว่างอารมณ์
วัดใจ
วัดถ้ำผาปล่อง
วัดถ้ำปากเปียง
วัดป่าธาราภิรมย์
วัดทุ่งยาว
วัดปงตำ
วัดมหิงสาวาส
วัดสุปัฎนาราม
วัดห้วยม่วง
วัดอรัญญวาสี
วัดฉิมพลีวัน
วัดดอยหล่อ
วัดปักกัณตาวาส
วัดป่าแดง
วัดพระธาตุจอมคีรี
วัดกิ่วจำปี
วัดเชียงหมั้น
วัดถ้ำตับเตา
วัดทรายขาว
วัดศรีดงเย็น
วัดสันต้นเปา
วัดสันทราย
วัดสุกาวาส
วัดหนองเทียนคำ
วัดหัวฝาย
วัดอินทาราม
วัดต้นโชค
วัดทาน้ำงาม
วัดบ้านปง
วัดบุญฑริกาวาส
วัดป่าไม้แดง
วัดถ้ำผาผึ้ง
วัดดอยกู่
วัดนาถสำราญ
วัดนิวาสไพรสณฑ์
วัดปทุมสราราม
วัดป่าไผ่ศรีโขง
วัดโพธิ์ทองเจริญ
วัดร้องขี้เหล็ก
วัดรังษีสุทธาวาส
วัดศรีประดิษฐ์
วัดสุขเกษม
วัดอมราราม
วัดบ้านถ้ำ
วัดวาลุการาม
วัดศิริมังคลาราม
วัดพรหมจริยาราม
วัดมหาวนาภิมุข
วัดศรีชยาราม
วัดศรีดอนดู่
วัดสุนทรศิริ
วัดชยาลังการ์
วัดดวงดี
วัดโชคชัย
วัดไพรสณฑ์สว่าง
วัดตาดเหมย
วัดบ้านโป่ง
วัดโป่งน้ำร้อน
วัดแม่หวาน
วัดน้ำแพร่
วัดป่าลาน
วัดปิตยาราม
วัดศรีประดู่
วัดไชยพฤกษาวาส
วัดเทพินทราราม
วัดนาคาสถิตย์
วัดป่าแพ่ง
วัดแม่คือเหนือ
วัดแม่คือใต้
วัดแม่คือตะวันออก
วัดแม่คือตะวันตก
วัดกัญจน์นิธยาราม
วัดดอยจอมแจ้ง
วัดดอยปล่อยนก
วัดแม่โป่ง
วัดแม่ฮ่องใคร้
วัดใหม่ชลประทานชูชาติ
วัดมงคลวราราม
วัดวังธาร
วัดสารคามรังสรรค์
วัดสุขวิเวการาม
วัดป่าสักงาม
วัดสุวรรณคีรีมงคล
วัดดอกแดง
วัดป่าฝาง
วัดสุวรรณฉิมพลี
วัดกู่ม่าน
วัดเจติยานุสรณ์
วัดชัยสถาน
วัดชัยสถิตย์
วัดเชฏฐาวรคุปต์
วัดดอนชัย
วัดยางทอง
วัดรัตนปัญญารังสิตย์
วัดวารีสุทธาวาส
วัดศรีสวัสดิ์
วัดสันปูเลย
วัดอัมพวัน
วัดป่าสักหลวง
วัดสันต้นม่วงเหนือ
วัดสันโป่ง
วัดศรีมุงเมือง
วัดดอนชื่น
วัดปากทางสามัคคี
วัดพระธาตุดอยน้อย
วัดพระธาตุดอยหล่อ
วัดฟ้าหลั่ง
วัดม่อนห้วยแก้ว
วัดวังขามป้อม
วัดสันคะยอม
วัดสิริมังคลาจารย์
วัดหนองหงอก
วัดหลอด
วัดเหล่าเป้า
วัดอรัญญวาส
วัดเชตวัน
วัดดอนชัย
วัดบ้านถ้ำ
วัดป่าลาน
วัดยางคราม
วัดศรีแดนเมือง
วัดศรีทรายมูล
วัดหนองหลั้ว
วัดใหม่พัฒนา
วัดพระธาตุโขงขาว
วัดทุ่งท้อ
วัดป่าลาน
วัดสองแคว
วัดหลังถ้ำ
วัดหัวข่วง
วัดหนองเหียง
วัดห้วยดินจี่
วัดใหม่หนองหอย
วัดโป่งจ้อ
วัดใหม่ป่าตึง
วัดหนองหอยเก่า
วัดทุ่งปุ่ย
วัดป่าลาน
วัดศิลามงคล
วัดศรีมุงเมือง
วัดธัมมิกาวาส
วัดปิตยาราม
วัดมธุราวาส
วัดวาฬุการาม
วัดคงคานิมิตร
วัดบ้านลาน
วัดประทุมมาวาส
วัดโพธิ์ทอง
วัดม่วงชุม
วัดสวนชา
วัดสุนทราวาส
วัดสุวรรณาราม
วัดหัวนา
วัดคงคาราม
วัดศรีบัวเงิน
วัดสันต้นเปา
วัดห้วยโจ้
วัดหาดสำราญ
วัดอุดมมงคล
วัดอุทกวารี
วัดคยานุสิทธิ์
วัดเชียงยืน
วัดป่าเทพนิมิต
วัดโป่งทรายคำ
วัดเหมืองแร่
วัดสวนดอกบัวนาค
วัดเกตุกาหลง
วัดทุ่งจำลอง
วัดพรหมจริยาวาส
วัดพระธาตุดอยแก้ว
วัดแม่งอน
วัดสุคันธวารี
วัดห้วยห้อม
วัดชัยเกษม
วัดเทพประสิทธิ์
วัดแม่สูน
วัดล้องอ้อ
วัดวิเวกการาม
วัดสันปูเลย
วัดหนองยาว
วัดกลางทุ่ง
วัดคลองศิลา
วัดคูหาวารีเกษม
วัดจองแป้น
วัดเจดีย์งาม
วัดชยาราม
วัดต้นรุง
วัดท่าสะแล
วัดเทพอำนวย
วัดปัณณาราม
วัดปางผึ้ง
วัดป่าแดง
วัดพระบาทอุดม
วัดม่วงคำ
วัดแม่ใจใต้
วัดศรีดอนชัย
วัดสระนิคม
วัดเสาหิน
วัดต้นส้านสามัคคี
วัดนันทาราม
วัดศรีถ้อย
วัดศรีบุญเรือง
วัดศรีมงคล
วัดสันต้นดู่
วัดสุนทราราม
วัดโสตยาราม
วัดโสภณาราม
วัดหนองผักหนาม
วัดเขื่อนผาก
วัดสหกรณ์แปลงสอง
วัดห้วยบง
วัดทุ่งหลวง
วัดบ้านหม้อ
วัดป่าจี้
วัดน้ำแพร่
วัดป่างิ้ว
วัดพระเจ้าล้านทอง
วัดสันขวาง
วัดหนองปลามัน
วัดทุ่งน้อย
วัดบ้านดง
วัดบ้านโป่ง
วัดป่าลัน
วัดป่าฮิ้น
วัดต้นกอก
วัดต้นรุง
วัดทุ่งกู่
วัดทุ่งห้า
วัดป่าตุ้มดอน
วัดป่าตุ้มโห้ง
วัดสันคะมอก
วัดสันถนน
วัดห้วยกุ
วัดบ้านโละ
วัดบ้านเหล่า
วัดป่าไหน่
วัดพระธาตุขุนโก๋น
วัดม่วงถ้อย
วัดสันกลาง
วัดสันปอธง
วัดสันยาว
วัดบ้านล้อง
วัดป่าแขม
วัดป่าแขม
วัดแม่แวน
วัดแม่เหียะ
วัดทุ่งบวกข้าว
วัดประดู่
วัดพระเจ้าตนหลวง
วัดม่อนหินไหล
วัดแม่ปั๋ง
วัดแม่แพง
วัดห้วยงู
วัดห้วยทราย
วัดกลางเวียง
วัดขามสุ่ม
วัดป่าเสี้ยว
วัดแม่กอย
วัดหนองอ้อ
วัดท่ามะเกี๋ยง
วัดบ่อเต่า
วัดพระธาตุกลางใจเมือง
วัดสันทราย
วัดสันปง
วัดหนองครก
วัดหนองปิด
วัดห้วยส้าน
วัดดงมะไฟ
วัดทุ่งแดง
วัดบ้านหลวง
วัดประตูโขง
วัดป่าห้า
วัดศรีมหาโพธิ์
วัดสันนาเม็ง
วัดดอยแม่ปั๋ง
วัดป่าเหมี้ยงขุนปั๋ง
วัดนิคมสหกรณ์
วัดป่าอาจารย์มั่น
วัดเจติยบรรพต
วัดกู่
วัดช่างเคิ่ง
วัดต่อเรือ
วัดทุ่งยาว
วัดน้อย
วัดบนนา
วัดบ้านเจียง
วัดบุปผาราม
วัดพร้าวหนุ่ม
วัดพุทธเอ้น
วัดแม่ปาน
วัดห้วยริน
วัดกองแขกใต้
วัดบ้านทัพ
วัดบ้านเหล่า
วัดป่าแดด
วัดพระบาท
วัดยางหลวง
วัดอมเม็ง
วัดแม่นาจร
วัดแม่วาก
วัดสันป่าลาน-วัดสบวาก
วัดชัยยะมงคล
วัดกองกาน
วัดนาฮ่อง
วัดสองยอด
วัดกองแขก
วัดหัวดอย
วัดเมืองกื้ด
วัดแม่ตะมาน
วัดทรายมูล
วัดบวกหมื้อ
วัดพระธาตุดอยจอมแจ้ง
วัดมะองค์นก
วัดแม่ขะจาน
วัดร่ำเปิง
วัดสันป่าสัก
วัดห้วยไร่
วัดช่อแลพระงาม
วัดบ้านกาด
วัดบ้านใหม่
วัดป่าไผ่
วัดสันป่าสัก
วัดหนองบัว
วัดเหล่าก๋อง
วัดบ้านช้าง
วัดปางไม้แดง
วัดดอย
วัดทุ่งล้อม
วัดบ้านเป้า
วัดบ้านแพะ
วัดป่าตึงงาม
วัดสบเลิม
วัดท่าผา
วัดปางมะกล้วย
วัดปางลัน
วัดป่ายางหนาด
วัดผาเด็ง
วัดก๋ายน้อย
วัดบ้านเหล่า
วัดบ้านออบ
วัดเมืองก๋าย
วัดทุ่งหลวง
วัดม่วงชุม
วัดแม่กะหลวง
วัดสันปูเลย
วัดหนองบัว
วัดบ้านผึ้ง
วัดแม่นาป๊าก
วัดแม่หอพระ
วัดสันนาเม็ง
วัดหัวฝาย
วัดดอนเจียง
วัดดอยตะแคง
วัดท่าข้าม
วัดปางม่วง
วัดปางฮ่าง
วัดสบเปิง
วัดหนองบัวหลวง
วัดสันป่าตึง
วัดสันป่ายาง
วัดหนองก๋าย
วัดหนองบัวน้อย
วัดติยะสถาน
วัดปากทาง
วัดแม่แตง
วัดหนองหล่ม
วัดเด่นสะหรีศรีเมืองแกน
วัดบ้านปง
วัดปางกว้าง
วัดป่าจี้
วัดม่วงคำ
วัดมืดกาพัฒนาราม
วัดวังแดง
วัดหนองผึ้ง
วัดหนองออน
วัดหางดง
วัดอินทขิล
วัดจิตตาราม
วัดขันติวนาราม
วัดดอยพระเจ้าตนหลวง
วัดป่าผาแด่น
วัดป่าอาจารย์ตื้อ
วัดสันติบถ
วัดอรัญญวิเวก
วัดป่านาบุญ
วัดป่าหมู่ใหม่
วัดคุณานุสรณ์
วัดมงคลประสิทธิ์
วัดศรีชลาธาร
วัดสามัคคีธรรม
วัดสุรินทราษฎร์
วัดหนองปันเจียง
วัดอินทาราม
วัดอุดมชัยราษฎร์
วัดดอนแก้ว
วัดดาราภิมุข
วัดปิยาราม
วัดพระนอน
วัดโสภณาราม
วัดเทพาราม
วัดปงไคร้
วัดปางลุง
วัดโป่งแยง
วัดเภรีพิชัย
วัดคีรีบรรพต
วัดน้ำตกแม่สา
วัดบ้านโห้ง
วัดแม่แรม
วัดหิรัญนิคม
วัดอัมพวัน
วัดดอนชัย
วัดท่าใคร้
วัดแม่สา
วัดศรีบุญเรือง
วัดสว่างบันเทิง
วัดดวงดี
วัดทรายมูล
วัดบุปผาราม
วัดแม่ริม
วัดรัตนาราม
วัดลัฎฐิวัน
วัดอรุณนิวาส
วัดเจดีย์สถาน
วัดหัวดง
วัดชลประทาน
วัดประกาศธรรม
วัดพระพุทธบาทสี่รอย
วัดเมืองก๊ะ
วัดสะลอง
วัดสิทธิทรงธรรม
วัดสุวรรณาวา
วัดกุมภประดิษฐ
วัดนันทาราม
วัดโพธินิมิตร
วัดมณีประดิษฐ์
วัดศรีชมพู
วัดสระฉัททันต์
วัดสันโป่ง
วัดสุวรรณาวาส
วัดตำหนักธรรมนิมิตร
วัดแม่แอน
วัดวาลุการาม
วัดชมพูนุท
วัดดอนตัน
วัดนันทาวาส
วัดพรหมประดิษฐ์
วัดวิจิตรวารี
วัดเวฬุวัน
วัดศรีปิงชัย
วัดธรรมสันติเจดีย์
วัดป่าดาราภิรมย์
วัดป่าน้ำริน
วัดป่าสะลวง
วัดป่าห้วยส้มสุก
วัดชัยมงคล
วัดดอนเปา
วัดทุ่งศิลา
วัดน้ำบ่อติ๊บ
วัดรังษีสุทธาราม
วัดสันปูเลย
วัดหลวงขุนวิน
วัดห้วยแก้ว
วัดใหม่สวรรค์
วัดจอมแจ้ง
วัดดอนแก้ว
วัดท่าช้าง
วัดบุญยืน
วัดพันตน
วัดมะกับตองหลวง
วัดจันทร์เกษม
วัดดอนปิน
วัดมหาวัน
วัดศรีชุม
วัดสารภี
วัดแสนคันธา
วัดจำลอง
วัดบ้านใหม่ปางเติม
วัดป่าแดด
วัดศิริชัยนิมิตร
วัดโสภาราม
วัดอัมพาราม
วัดถ้ำดอยโตน
วัดมัชฌิมาราม
วัดวิมุตติการาม
วัดสบวิน
วัดป่าห้วยปางเม็งเฉลิมพระเกียรติ
วัดบ้านใหม่ดอนแก้ว
วัดแม่ตะไคร้
วัดจอมธรรม
วัดดอนชัย
วัดศรีบุญเรือง
วัดห้วยทราย
วัดโป่งวนาราม
วัดคันธาพฤกษา
วัดบ้านป๊อก
วัดปางกอง
วัดแม่เตาดิน
วัดแม่ลาย
วัดห้วยแก้ว
วัดบ้านวาก
วัดเปาสามขา
วัดพระธาตุดอยผาตั้ง
วัดเหล่าจันทรังษี
วัดออนกลาง
วัดดอนทราย
วัดหนองหอย
วัดหัวฝาย
วัดออนหลวย
วัดห้วยปู
วัดภาวนานิมิต
วัดห้วยน้ำเย็น
วัดหาดชมภู
วัดสันต้นดู่
วัดท่ามะแกง
วัดบ้านใหม่หมอกจ๋าม
วัดห้วยศาลา
วัดหัวเมืองงาม
วัดเมืองงามใต้
วัดวังไผ่
วัดแก่งทรายมูล
วัดสว่างไพบูลย์
วัดป่าแดง
วัดม่วงสามฮ้อย
วัดวัฒนาราม
วัดศรีสองเมือง
วัดสันห้าง
วัดใหม่โพธิ์งาม
วัดร่องห้า
วัดห้วยม่วง
วัดชัยมงคล
วัดสีลาอาสน์
วัดธัมมิกาวาส
วัดบ้านหนองขี้นกยาง
วัดป่าดอยแสงธรรมญาณสัมปันโน
วัดพระธาตุสบฝาง
วัดพระธาตุแสงรุ้ง
วัดห้วยป่ากล้วย
วัดแม่เมืองน้อย
วัดวังไฮ
วัดแม่สลัก
วัดสันเวียงมูล
วัดพระธาตุศรีจอมไตร
วัดกาวีละ
วัดศรีบุญเรือง
วัดศรีดอนแก้ว
วัดปัญจคณานุสรณ์
วัดศรีเวียง
วัดรัตนาวาส
วัดแม่สาว
วัดเมืองหนอง
วัดพระธาตุดอยน้ำค้าง
วัดหมอกเปา
วัดดอยแก้ว
วัดดอนชัย
วัดมงคลสถาน
วัดบ้านใหม่ปูแช่
วัดนิวาสสถาน
วัดพระธาตุปูแช่
วัดแม่อายหลวง
วัดมาตุการาม
วัดปางต้นเดื่อ
วัดสันต้นม่วง
วัดมงคลนิมิต
วัดสันผักหละ
วัดชัยสถาน
วัดสันต้นหมื้อ
วัดชัยชนาราม
วัดทรายแดง
วัดสันติวัน
วัดฮ่องห้าน้อย
วัดป่าเหียก
วัดป่าตึง
วัดป่าดอยแสงธรรมญาณสัมปันโน
วัดเปียงหลวง
วัดฟ้าเวียงอินทร์
วัดมกายอน
วัดม่วงเครือ
วัดห้วยไคร้
วัดอุทัยธาราม
วัดกองลม
วัดกำแพงใหม่
วัดแม่หาด
วัดเวียงแหง
วัดห้วยหก
วัดพระธาตุแสนไห
วัดม่วงป๊อก
วัดสามภู
วัดศรีรัตนวาฏคีรี
วัดยั้งเมิน
วัดศรีดอนมูล
วัดอังคาย
วัดงาแมง
วัดงิ้วเฒ่า
วัดต้นผึ้ง
วัดปางเติม
วัดแม่ขาน
วัดแม่ตุงติง
วัดรุ่งอรุณ
วัดอมลอง
วัดกองขากน้อย
วัดกองขากหลวง
วัดทรายมูล
วัดท่าศาลา
วัดน้ำริน
วัดป่ากล้วย
วัดแม่สาบใต้
วัดแม่สาบเหนือ
วัดสะเมิง
วัดแสนทอง
วัดต้นลาน
วัดทุ่งล้อม
วัดบ้านพอก
วัดโป่งปะ
วัดแม่แพะ
วัดแม่เลย
วัดศาลาโป่งกวาว
วัดกฤษณา
วัดแช่ช้าง
วัดดงขี้เหล็ก
วัดดอนปีน
วัดป่าเปา
วัดต้นเปา
วัดต้นผึ้ง
วัดบวกเป็ด
วัดบ่อสร้าง
วัดพระป้าน
วัดสันป่าค่า
วัดสันมะฮกฟ้า
วัดหนองโค้ง
วัดชัยชนะมงคล
วัดดอนมูล
วัดทรายมูล
วัดสันก้างปลา
วัดสันโค้ง
วัดกอสะเลียม
วัดช่างเพี้ยน
วัดบวกค้าง
วัดบ้านโป่ง
วัดป่าตาล
วัดย่าพาย
วัดร้องกองข้าว
วัดร้อยพร้อม
วัดปงป่าเอื้อง
วัดป่าสักน้อย
วัดปูคาใต้
วัดแม่ปูคาเหนือ
วัดสันมะแปป
วัดน้ำจำ
วัดม่วงเขียว
วัดม่วงม้าใต้
วัดม่วงม้าเหนือ
วัดร้องวัวแดง
วัดลังการ์
วัดวังธาร
วัดถ้ำเมืองออน
วัดบ้านมอญ
วัดสันกลางใต้
วัดสันกลางเหนือ
วัดสีมาราม
วัดคำซาว
วัดบ้านน้อย
วัดป่าแดง
วัดป่าเห็ว
วัดศรีบุญเรือง
วัดสันกำแพง
วัดสันติวนาราม
วัดสันใต้
วัดสันปูเลย
วัดดอยซิว
วัดทุ่งต้อม
วัดป่าตึง
วัดแม่ตาด
วัดล้านทอง
วัดสันข้าวแคบกลาง
วัดหนองแสะ
วัดเชียงแสน
วัดบ้านโห้ง
วัดป่าแงะ
วัดป่าตึง
วัดป่าห้า
วัดแม่ผาแหน
วัดอรุณโชติการาม
วัดโรงธรรมสามัคคี
วัดพระธาตุจอมกิตติ
วัดบ้านโป่ง
วัดร่มหลวง
วัดศรีงาม
วัดศรีทรายมูล
วัดหนองมะจับ
วัดหนองแสะ
วัดห้วยแก้ว
วัดขัวมุง
วัดเจดีย์แม่ครัว
วัดแม่แฝก
วัดวังขุมเงิน
วัดสบแฝก
วัดดอยแท่นพระผาหลวง
วัดป่าแดด
วัดป่าเหมือด
วัดเมืองขอน
วัดแม่แก้ดน้อย
วัดศรีบุญเรือง
วัดหนองเต่าคำ
วัดหนองอุโบสถ
วัดขัวสูง
วัดเมืองเล็น
วัดเมืองวะ
วัดหนองก้นครุ
วัดหัวฝาย
วัดแม่ย่อย
วัดสันคะยอม
วัดสันทรายมูล
วัดข้าวแท่นน้อย
วัดข้าวแท่นหลวง
วัดบ้านท่อ
วัดป่าลาน
วัดสันทรายหลวง
วัดคอกหมูป่า
วัดแม่กวง
วัดร้องสัก
วัดสันนาเม็ง
วัดสันหลวง
วัดหลักพัน
วัดต้นสาร
วัดพยากน้อย
วัดสันต้นเปา
วัดสันป่าค่าง
วัดท่าทุ่ม
วัดแม่คาว
วัดสันพระเนตร
วัดสันศรี
วัดต้นจันทน์
วัดท่าเกวียน
วัดนางเหลียว
วัดฟ้ามุ่ย
วัดแม่แก้ดหลวง
วัดศรีทรายมูล
วัดสันป่าสัก
วัดหนองไคร้หลวง
วัดทุ่งป่าเก็ด
วัดทุ่งหมื่นน้อย
วัดป่าบง
วัดแม่โจ้
วัดแม่เตาไห
วัดวิเวกวนาราม
วัดห้วยเกี๋ยง
วัดทุ่งข้าวตอก
วัดบวกเปา
วัดบ้านดงเจริญชัย
วัดพระบาทตีนนก
วัดร้องเม็ง
วัดหนองบัวเธียรสิริ
วัดหนองแหย่ง
วัดใหม่ชลประทาน
วัดห้วยบงวัฒนาราม
วัดทิพวนาราม
วัดดอนชัย
วัดต้นแหนหลวง
วัดท่าวังพร้าว
วัดมงคล
วัดศรีรัตนาราม
วัดสันควงคำ
วัดกลางทุ่ง
วัดก่อเก๊า
วัดช่างกระดาษ
วัดบุญนาค
วัดป่าลาน
วัดรัตนาราม
วัดศรีอรุณ
วัดสบหาร
วัดสุพรรณรังษี
วัดคันธาราม
วัดบุปผาราม
วัดห้วยส้ม
วัดอุโบสถ
วัดดอนแก้ว
วัดตลาดแก้ว
วัดท่าจำปี
วัดท่าสา
วัดทุ่งเกี้ยง
วัดปราสาท
วัดป่าชี
วัดป่าไม้แดง
วัดร้องส้มป่อย
วัดศรีบุญเรือง
วัดสว่างอารมณ์
วัดหัวริน
วัดจอมแจ้ง
วัดทุ่งฟ้าฮ่าม
วัดน้ำบ่อหลวง
วัดโรงวัว
วัดศรีอุดม
วัดหนองหวาย
วัดห้วยโท้ง
วัดใหม่หัวฝาย
วัดต้นกอก
วัดท้องฝาย
วัดท่ากาน
วัดปวงสนุก
วัดป่าสัก
วัดพระเจ้าทองทิพย์
วัดร้องธาน
วัดศรีนวรัฐ
วัดสันห่าว
วัดสามหลัง
วัดกิ่วแลหลวง
วัดกู่คำ
วัดต้นโชค
วัดต้นผึ้ง
วัดบ้านกลาง
วัดมะกับตอง
วัดร้องส้าน
วัดศรีเกิด
วัดศรีปันเงิน
วัดสันป่าตอง
วัดหนองปึ๋ง
วัดหนองพันเงิน
วัดอุเม็ง
วัดข่วงมื่น
วัดข่วงหมื่น
วัดควรนิมิตร
วัดต้นแก้ว
วัดพระธาตุทุ่งตูม
วัดทุ่งปุย
วัดป่าจู้
วัดพระบาทยั้งหวีด
วัดมงคล
วัดมะขามหลวง
วัดมะขุนหวาน
วัดส้มป่อย
วัดสันคะยอม
วัดสันทรายมูล
วัดแสงสว่าง
วัดหนองอึ่ง
วัดอุโบสถ
วัดกอม่วง
วัดป่างิ้ว
วัดป่าซาง
วัดกอโชค
วัดทรายมูล
วัดแม่ก๊า
วัดร้องขุด
วัดโรงวัว
วัดเวฬุวนาราม
วัดสันกาวาฬ
วัดสันคอกช้าง
วัดหนองแขม
วัดหนองครอบ
วัดอินทะวิชัย
วัดกิ่วแลน้อย
วัดต้นงิ้ว
วัดท่าเดื่อ
วัดท่าโป่ง
วัดธรรมชัย
วัดบ้านดง
วัดบ้านเปียง
วัดบ้านสัน
วัดร้องขุ้ม
วัดหางดง
วัดป่าเจดีย์เหลี่ยม
วัดป่าเจริญธรรม
วัดขัวมุง
วัดหัวดง
วัดปากเหมือง
วัดป่าเดื่อ
วัดไร่ดงพุทธาราม
วัดศรีมูลเรือง
วัดอุทุมพราราม
วัดท่าต้นกวาว
วัดบุบผาราม
วัดป่าเป้า
วัดพญาชมภู
วัดแม่สะลาบ
วัดศรีดอนมูล
วัดหนองป่าแสะ
วัดเชียงขาง
วัดต้นโชคหลวง
วัดต้นยางหลวง
วัดนันทาราม
วัดโพธิมงคล
วัดศรีบุญเรือง
วัดศรีสองเมือง
วัดอุโบสถ
วัดดอนแก้ว
วัดตำหนัก
วัดน้ำโจ้
วัดสันกลาง
วัดสันต้นกอก
วัดเจดีย์เหลี่ยม
วัดช้างค้ำ
วัดบวกครกใต้
วัดบวกครกเหนือ
วัดบ้านกลาง
วัดป่ากล้วย
